"GDF","ET","GDF_prev","DF_prev"
" 1.0054490297"," 0.557538210"," 1.1551007172","-0.2592532612"
" 0.6529177054"," 0.447889635"," 1.0054490293","-0.2735951392"
" 0.1642813021"," 0.228592486"," 0.6529177046","-0.0877494635"
"-0.3687649744","-0.100353237"," 0.1642813009"," 1.2548174094"
"-0.6866450958","-0.593771823","-0.3687649761"," 0.2726633237"
"-0.7003092789","-0.703420397","-0.6866450978","-0.5961662546"
"-0.7003041670","-0.758244684","-0.7003092810","-0.6260502727"
"-0.7003086399","-0.758244684","-0.7003041690","-0.6260767286"
"-0.7002345169","-0.758244684","-0.7003086420","-0.6261226783"
"-0.7003041670","-0.758244684","-0.7002345190","-0.6259319174"
"-0.7002415458","-0.758244684","-0.7003041690","-0.6258664738"
"-0.7002977771","-0.758244684","-0.7002415479","-0.6257188778"
"-0.7002671055","-0.758244684","-0.7002977791","-0.6256283708"
"-0.7002524087","-0.758244684","-0.7002671076","-0.6256687509"
"-0.7002619936","-0.758244684","-0.7002524108","-0.6255852059"
"-0.7002837193","-0.758244684","-0.7002619956","-0.6256381177"
"-0.7002274880","-0.758244684","-0.7002837213","-0.6256381177"
"-0.7002875532","-0.758244684","-0.7002274901","-0.6257119157"
"-0.6615020786","-0.758244684","-0.7002875553","-0.6255796363"
"-0.2227555352","-0.703420397","-0.6615020807","-0.5680965537"
" 0.3787905745","-0.538947535","-0.2227555368","-0.3197676319"
" 0.8463402754","-0.100353237"," 0.3787905735","-0.2692925758"
" 1.1121605235"," 0.283416773"," 0.8463402748","-0.2535582824"
" 1.1752289334"," 0.667186784"," 1.1121605232","-0.2521519429"
" 1.0145866007"," 0.776835359"," 1.1752289331","-0.2521658671"
" 0.6644834421"," 0.612362497"," 1.0145866003","-0.2610216286"
" 0.1506068951"," 0.338241061"," 0.6644834414"," 0.0341564997"
"-0.3764712056","-0.100353237"," 0.1506068939"," 1.2982607681"
"-0.6857217538","-0.593771823","-0.3764712074"," 0.2574859965"
"-0.7002856362","-0.703420397","-0.6857217558","-0.5940915557"
"-0.7002504917","-0.758244684","-0.7002856383","-0.6260725513"
"-0.7003035280","-0.758244684","-0.7002504938","-0.6261226783"
"-0.7002984160","-0.758244684","-0.7003035300","-0.6261644507"
"-0.7002996940","-0.758244684","-0.7002984181","-0.6261017920"
"-0.7003233367","-0.703420397","-0.7002996961","-0.6261087541"
"-0.7002856362","-0.758244684","-0.7003233388","-0.6259987533"
"-0.7002594376","-0.703420397","-0.7002856383","-0.6261533114"
"-0.7002971381","-0.703420397","-0.7002594397","-0.6259263477"
"-0.7002862752","-0.703420397","-0.7002971401","-0.6259374870"
"-0.7002696615","-0.703420397","-0.7002862773","-0.6260349561"
"-0.7003252537","-0.703420397","-0.7002696635","-0.6258803980"
"-0.7002734954","-0.703420397","-0.7003252557","-0.6258609042"
"-0.6544987375","-0.703420397","-0.7002734975","-0.6258400180"
"-0.1936814455","-0.593771823","-0.6544987395","-0.5642353860"
" 0.3873530536","-0.484123248","-0.1936814471","-0.3476855595"
" 0.8648710138"," 0.064119624"," 0.3873530526","-0.2943839002"
" 1.1687751245"," 0.557538210"," 0.8648710133","-0.2976282280"
" 1.2241756425"," 0.831659646"," 1.1687751242","-0.3167460906"
" 1.0309447698"," 0.996132508"," 1.2241756423","-0.2971826551"
" 0.6917044579"," 0.886483933"," 1.0309447694","-0.2555912088"
" 0.1608307508"," 0.557538210"," 0.6917044572"," 0.2081109484"
"-0.3898708465"," 0.064119624"," 0.1608307496"," 1.4177300044"
"-0.6855645620","-0.429298961","-0.3898708483"," 0.2138755479"
"-0.7002511307","-0.593771823","-0.6855645641","-0.5938269968"
"-0.7002786073","-0.703420397","-0.7002511328","-0.6261686280"
"-0.7003022500","-0.758244684","-0.7002786094","-0.6261463493"
"-0.7002504917","-0.758244684","-0.7003022521","-0.6260154623"
"-0.7002696615","-0.758244684","-0.7002504938","-0.6259750822"
"-0.7002920261","-0.758244684","-0.7002696635","-0.6258400180"
"-0.7002198202","-0.758244684","-0.7002920282","-0.6259012842"
"-0.7002300440","-0.758244684","-0.7002198222","-0.6258901449"
"-0.7002619936","-0.758244684","-0.7002300461","-0.6257787517"
"-0.7002498527","-0.758244684","-0.7002619956","-0.6256325481"
"-0.7002805243","-0.758244684","-0.7002498548","-0.6258400180"
"-0.7002766904","-0.758244684","-0.7002805264","-0.6257049537"
"-0.7002734954","-0.758244684","-0.7002766924","-0.6259249553"
"-0.6526047682","-0.758244684","-0.7002734975","-0.6257982455"
"-0.1770676800","-0.703420397","-0.6526047702","-0.5626772732"
" 0.4014747543","-0.538947535","-0.1770676816","-0.3778174275"
" 0.8662767940","-0.100353237"," 0.4014747533","-0.3067067760"
" 1.1346530061"," 0.393065348"," 0.8662767934","-0.2512329488"
" 1.1737592541"," 0.722011071"," 1.1346530058","-0.2127605129"
" 1.0056407270"," 0.831659646"," 1.1737592539","-0.1534018469"
" 0.5851846614"," 0.722011071"," 1.0056407266","-0.0939178634"
" 0.0258758556"," 0.447889635"," 0.5851846606"," 0.4887104882"
"-0.4644347041"," 0.064119624"," 0.0258758542"," 1.1274114056"
"-0.6811082389","-0.429298961","-0.4644347059","-0.0212477067"
"-0.7002862752","-0.648596110","-0.6811082410","-0.5824857739"
"-0.7003156688","-0.758244684","-0.7002862773","-0.6260196395"
"-0.7003156688","-0.758244684","-0.7003156709","-0.6259514112"
"-0.7002971381","-0.758244684","-0.7003156709","-0.6259193856"
"-0.7003156688","-0.758244684","-0.7002971401","-0.6258734359"
"-0.7002996940","-0.758244684","-0.7003156709","-0.6256729281"
"-0.7002600766","-0.758244684","-0.7002996961","-0.6257091309"
"-0.7002479358","-0.758244684","-0.7002600787","-0.6256896371"
"-0.7003035280","-0.758244684","-0.7002479378","-0.6256562191"
"-0.7002996940","-0.758244684","-0.7003035300","-0.6256158391"
"-0.7003182248","-0.758244684","-0.7002996961","-0.6253860905"
"-0.7002792463","-0.758244684","-0.7003182268","-0.6256409026"
"-0.7002696615","-0.758244684","-0.7002792484","-0.6256241936"
"-0.6550175981","-0.758244684","-0.7002696635","-0.6257355868"
"-0.3464002900","-0.703420397","-0.6550176002","-0.5476015923"
"-0.1863969484","-0.538947535","-0.3464002918"," 0.0110145567"
" 0.1235136775","-0.100353237","-0.1863969499"," 0.4807737207"
" 0.2872870660"," 0.173768199"," 0.1235136762"," 0.9455619619"
" 0.2198096184"," 0.393065348"," 0.2872870649"," 1.2039942494"
" 0.2694592176"," 0.393065348"," 0.2198096172"," 1.2410324975"
"-0.0797493536"," 0.228592486"," 0.2694592165"," 1.4199578690"
"-0.2518296248"," 0.064119624","-0.0797493551"," 0.7438009788"
"-0.5430178149","-0.210001812","-0.2518296265"," 0.3603297936"
"-0.6850763729","-0.429298961","-0.5430178169","-0.2804179744"
"-0.7003156688","-0.538947535","-0.6850763749","-0.5928091412"
"-0.7003207807","-0.593771823","-0.7003156709","-0.6260057154"
"-0.7003201417","-0.593771823","-0.7003207828","-0.6258344483"
"-0.7003373945","-0.593771823","-0.7003201438","-0.6258191317"
"-0.7003297266","-0.593771823","-0.7003373966","-0.6257829289"
"-0.7003092789","-0.593771823","-0.7003297287","-0.6257188778"
"-0.7003290876","-0.593771823","-0.7003092810","-0.6257717896"
"-0.7003482573","-0.593771823","-0.7003290897","-0.6257522958"
"-0.7003035280","-0.648596110","-0.7003482594","-0.6257509034"
"-0.7003207807","-0.648596110","-0.7003035300","-0.6257258399"
"-0.7003137518","-0.703420397","-0.7003207828","-0.6256478646"
"-0.7003022500","-0.758244684","-0.7003137539","-0.6257564730"
"-0.7003418674","-0.758244684","-0.7003022521","-0.6255963453"
"-0.6420537491","-0.758244684","-0.7003418695","-0.6256534343"
"-0.2857344863","-0.593771823","-0.6420537511","-0.5180433994"
" 0.3350835914","-0.429298961","-0.2857344880","-0.2601026345"
" 0.7672331919","-0.100353237"," 0.3350835903","-0.1741209871"
" 0.8248701784"," 0.228592486"," 0.7672331913","-0.0609733164"
" 0.2773827058"," 0.447889635"," 0.8248701778"," 0.1720752394"
"-0.0185979167"," 0.502713922"," 0.2773827046"," 1.0458158666"
" 0.1925247035"," 0.502713922","-0.0185979181"," 0.7795860531"
" 0.1215967046"," 0.118943912"," 0.1925247023"," 0.9601823230"
"-0.4098201449","-0.155177525"," 0.1215967033"," 1.3990716389"
"-0.6818756671","-0.484123248","-0.4098201467"," 0.1264457886"
"-0.7002683835","-0.593771823","-0.6818756691","-0.5855838980"
"-0.7003284486","-0.703420397","-0.7002683855","-0.6261087541"
"-0.7003488963","-0.703420397","-0.7003284507","-0.6259583733"
"-0.7002894702","-0.703420397","-0.7003488984","-0.6257717896"
"-0.7003086399","-0.703420397","-0.7002894722","-0.6257731820"
"-0.7003578422","-0.703420397","-0.7003086420","-0.6257453337"
"-0.7003508133","-0.703420397","-0.7003578443","-0.6258595118"
"-0.7003533693","-0.703420397","-0.7003508154","-0.6257481185"
"-0.7003488963","-0.758244684","-0.7003533713","-0.6258595118"
"-0.7003182248","-0.758244684","-0.7003488984","-0.6255197624"
"-0.7003016110","-0.758244684","-0.7003182268","-0.6257606503"
"-0.7003508133","-0.758244684","-0.7003016131","-0.6257815365"
"-0.7002811633","-0.758244684","-0.7003508154","-0.6255392562"
"-0.6712837526","-0.758244684","-0.7002811654","-0.6257202702"
"-0.3729375855","-0.648596110","-0.6712837546","-0.5690099782"
"-0.1173859224","-0.484123248","-0.3729375872","-0.2023173978"
" 0.1417249205"," 0.009295337","-0.1173859239"," 0.2773418392"
" 0.5240332245"," 0.338241061"," 0.1417249192"," 0.6031670293"
" 0.2631332069"," 0.502713922"," 0.5240332236"," 0.2483796001"
" 0.1330346431"," 0.502713922"," 0.2631332058"," 0.4214568271"
"-0.0642218728"," 0.393065348"," 0.1330346419"," 0.2522783631"
"-0.1439040481"," 0.173768199","-0.0642218742"," 0.5778250701"
"-0.1869081411","-0.155177525","-0.1439040496"," 0.6780789747"
"-0.6732965742","-0.484123248","-0.1869081427"," 0.6683738398"
"-0.7003105569","-0.648596110","-0.6732965762","-0.5646920982"
"-0.7002837193","-0.758244684","-0.7003105589","-0.6261379948"
"-0.7002300440","-0.758244684","-0.7002837213","-0.6258803980"
"-0.7003399505","-0.758244684","-0.7002300461","-0.6258288786"
"-0.7002511307","-0.758244684","-0.7003399525","-0.6257606503"
"-0.7002990550","-0.758244684","-0.7002511328","-0.6258024227"
"-0.7002894702","-0.758244684","-0.7002990571","-0.6257244475"
"-0.7002696615","-0.758244684","-0.7002894722","-0.6258135621"
"-0.7003022500","-0.758244684","-0.7002696635","-0.6256214087"
"-0.7002460188","-0.758244684","-0.7003022521","-0.6255963453"
"-0.7002849972","-0.758244684","-0.7002460209","-0.6258177393"
"-0.7002881922","-0.758244684","-0.7002849993","-0.6256172315"
"-0.7002645495","-0.758244684","-0.7002881943","-0.6257982455"
"-0.6769790792","-0.758244684","-0.7002645516","-0.6257968531"
"-0.2611397234","-0.703420397","-0.6769790812","-0.5770024422"
" 0.4965566123","-0.593771823","-0.2611397251"," 0.0163753558"
" 0.8093426976","-0.100353237"," 0.4965566114"," 0.2997597262"
" 0.8387362827"," 0.393065348"," 0.8093426970"," 0.5446855849"
" 1.1347808043"," 0.722011071"," 0.8387362821"," 1.0406639298"
" 0.6262078824"," 0.886483933"," 1.1347808040"," 0.4675457750"
" 0.5967503981"," 0.722011071"," 0.6262078816"," 0.1564801875"
"-0.0532312279"," 0.393065348"," 0.5967503973"," 1.9468478345"
"-0.3673400245","-0.045528950","-0.0532312293"," 0.8245610687"
"-0.6910880000","-0.538947535","-0.3673400262"," 0.1686777459"
"-0.7003022500","-0.648596110","-0.6910880021","-0.6051779667"
"-0.7003725390","-0.758244684","-0.7003022521","-0.6260391333"
"-0.7002766904","-0.758244684","-0.7003725411","-0.6256102694"
"-0.7002996940","-0.758244684","-0.7002766924","-0.6259124235"
"-0.7002786073","-0.758244684","-0.7002996961","-0.6258567269"
"-0.7003514523","-0.758244684","-0.7002786094","-0.6258191317"
"-0.7003603982","-0.758244684","-0.7003514544","-0.6258024227"
"-0.7003712610","-0.758244684","-0.7003604002","-0.6256701433"
"-0.7002952211","-0.758244684","-0.7003712631","-0.6255448259"
"-0.7003501743","-0.758244684","-0.7002952232","-0.6256798902"
"-0.7003386725","-0.758244684","-0.7003501764","-0.6256478646"
"-0.7002945821","-0.758244684","-0.7003386745","-0.6256074846"
"-0.7002530477","-0.758244684","-0.7002945842","-0.6257202702"
"-0.6765918506","-0.758244684","-0.7002530498","-0.6257467261"
"-0.3285341022","-0.593771823","-0.6765918527","-0.5755891407"
" 0.4726583496","-0.319650386","-0.3285341039","-0.2598380756"
" 0.7065290487"," 0.118943912"," 0.4726583487"," 0.1267660441"
" 1.0665365675"," 0.557538210"," 0.7065290480"," 0.1614928828"
" 1.1758040253"," 0.667186784"," 1.0665365671"," 0.3384688728"
" 0.9323484614"," 0.722011071"," 1.1758040250"," 0.2151008734"
" 0.2299695750"," 0.612362497"," 0.9323484610"," 0.2623037535"
" 0.0805415340"," 0.338241061"," 0.2299695738"," 1.4234389073"
"-0.3359336178"," 0.173768199"," 0.0805415327"," 1.2772213723"
"-0.6803740383","-0.264826099","-0.3359336195"," 0.3251991545"
"-0.7002575206","-0.429298961","-0.6803740403","-0.5810822192"
"-0.7003322826","-0.593771823","-0.7002575227","-0.6261073617"
"-0.7003188638","-0.593771823","-0.7003322846","-0.6260321713"
"-0.7003418674","-0.648596110","-0.7003188658","-0.6260864755"
"-0.7002786073","-0.648596110","-0.7003418695","-0.6258748283"
"-0.7002952211","-0.703420397","-0.7002786094","-0.6259736898"
"-0.7003060839","-0.703420397","-0.7002952232","-0.6257815365"
"-0.7002715784","-0.703420397","-0.7003060860","-0.6259068539"
"-0.7003016110","-0.703420397","-0.7002715805","-0.6257829289"
"-0.7002849972","-0.758244684","-0.7003016131","-0.6258609042"
"-0.7002671055","-0.758244684","-0.7002849993","-0.6257355868"
"-0.7002274880","-0.758244684","-0.7002671076","-0.6258428028"
"-0.7002696615","-0.758244684","-0.7002274901","-0.6257355868"
"-0.6644995853","-0.758244684","-0.7002696635","-0.6257717896"
"-0.2069405084","-0.703420397","-0.6644995874","-0.5521018787"
" 0.2316948506","-0.484123248","-0.2069405100","-0.0279730728"
" 0.7175835927"," 0.009295337"," 0.2316948494","-0.1313042154"
" 0.9229552940"," 0.447889635"," 0.7175835920"," 0.0390995742"
" 0.9246805697"," 0.776835359"," 0.9229552935"," 0.1099735151"
" 0.5601362149"," 0.941308220"," 0.9246805692"," 0.8845741699"
" 0.6361122426"," 0.886483933"," 0.5601362141"," 1.3184507905"
"-0.0513781540"," 0.557538210"," 0.6361122418"," 2.2984327083"
"-0.4058136715"," 0.118943912","-0.0513781555"," 0.8798399578"
"-0.6787593081","-0.429298961","-0.4058136732"," 0.0611275849"
"-0.7002971381","-0.593771823","-0.6787593101","-0.5775789022"
"-0.7002773293","-0.758244684","-0.7002971401","-0.6259583733"
"-0.7003041670","-0.758244684","-0.7002773314","-0.6257773593"
"-0.7003437844","-0.758244684","-0.7003041690","-0.6258957146"
"-0.7002862752","-0.758244684","-0.7003437865","-0.6258748283"
"-0.7002901092","-0.758244684","-0.7002862773","-0.6260293864"
"-0.7002881922","-0.758244684","-0.7002901112","-0.6259166008"
"-0.7002811633","-0.703420397","-0.7002881943","-0.6258177393"
"-0.7003022500","-0.758244684","-0.7002811654","-0.6257564730"
"-0.7002664665","-0.703420397","-0.7003022521","-0.6258539421"
"-0.7003118349","-0.703420397","-0.7002664686","-0.6257717896"
"-0.7003131128","-0.703420397","-0.7003118369","-0.6258957146"
"-0.7003022500","-0.703420397","-0.7003131149","-0.6258024227"
"-0.6941890233","-0.703420397","-0.7003022521","-0.6257982455"
"-0.5664560041","-0.593771823","-0.6941890253","-0.6131913170"
" 0.3757234178","-0.374474674","-0.5664560061","-0.3357943325"
" 0.4314434313"," 0.118943912"," 0.3757234167"," 0.9221693842"
" 1.0556098217"," 0.502713922"," 0.4314434303"," 1.0111447245"
" 1.3753609087"," 0.722011071"," 1.0556098213"," 1.4026919187"
" 0.8513244050"," 0.831659646"," 1.3753609086"," 1.9784556627"
" 0.0727777936"," 0.722011071"," 0.8513244045"," 1.6852129917"
"-0.1145743621"," 0.447889635"," 0.0727777923"," 1.0430310359"
"-0.4604026710"," 0.064119624","-0.1145743636"," 0.7095475614"
"-0.6758269784","-0.429298961","-0.4604026728","-0.0758025398"
"-0.7003386725","-0.648596110","-0.6758269805","-0.5717321502"
"-0.7003156688","-0.758244684","-0.7003386745","-0.6260293864"
"-0.7003111959","-0.758244684","-0.7003156709","-0.6257300171"
"-0.7003067229","-0.758244684","-0.7003111979","-0.6257411565"
"-0.7003233367","-0.758244684","-0.7003067250","-0.6257926758"
"-0.7003092789","-0.758244684","-0.7003233388","-0.6258288786"
"-0.7003457014","-0.758244684","-0.7003092810","-0.6257272323"
"-0.7003418674","-0.758244684","-0.7003457034","-0.6256019149"
"-0.7003412284","-0.648596110","-0.7003418695","-0.6255559652"
"-0.7003393115","-0.593771823","-0.7003412305","-0.6256241936"
"-0.7003348385","-0.648596110","-0.7003393135","-0.6257258399"
"-0.7003341995","-0.648596110","-0.7003348406","-0.6256381177"
"-0.7003201417","-0.703420397","-0.7003342016","-0.6256311556"
"-0.6875939974","-0.703420397","-0.7003201438","-0.6256548267"
"-0.6061565138","-0.593771823","-0.6875939994","-0.5981796872"
"-0.3741197188","-0.374474674","-0.6061565158","-0.4181696242"
"-0.0430712713"," 0.009295337","-0.3741197206"," 0.0952696091"
" 0.1226190901"," 0.228592486","-0.0430712727"," 0.8405738451"
" 0.2196179211"," 0.338241061"," 0.1226190889"," 1.1914625113"
" 0.2475418269"," 0.393065348"," 0.2196179199"," 1.4134135169"
" 0.1418527187"," 0.502713922"," 0.2475418258"," 1.4698063382"
"-0.0589182476"," 0.283416773"," 0.1418527174"," 1.2535642356"
"-0.4648564381"," 0.064119624","-0.0589182491"," 0.7826493669"
"-0.6781254290","-0.319650386","-0.4648564400","-0.1060458011"
"-0.7003699830","-0.538947535","-0.6781254310","-0.5767699089"
"-0.7003226977","-0.648596110","-0.7003699851","-0.6260085002"
"-0.7003348385","-0.703420397","-0.7003226998","-0.6259374870"
"-0.7003233367","-0.703420397","-0.7003348406","-0.6259235629"
"-0.7003667881","-0.758244684","-0.7003233388","-0.6257049537"
"-0.7003603982","-0.758244684","-0.7003667902","-0.6257258399"
"-0.7003207807","-0.703420397","-0.7003604002","-0.6258288786"
"-0.7002952211","-0.758244684","-0.7003207828","-0.6257383716"
"-0.7003348385","-0.758244684","-0.7002952232","-0.6259416643"
"-0.7003278096","-0.758244684","-0.7003348406","-0.6257898910"
"-0.7002926651","-0.758244684","-0.7003278117","-0.6260266016"
"-0.7002645495","-0.758244684","-0.7002926672","-0.6258149545"
"-0.7002543257","-0.758244684","-0.7002645516","-0.6257884986"
"-0.6603665917","-0.758244684","-0.7002543277","-0.6256520419"
"-0.2605071223","-0.703420397","-0.6603665937","-0.5443530873"
"-0.0068404827","-0.484123248","-0.2605071240"," 0.2202388861"
" 0.3221120744"," 0.009295337","-0.0068404840"," 0.3373549405"
"-0.1444791400"," 0.393065348"," 0.3221120734"," 0.8121685721"
"-0.2031385121"," 0.447889635","-0.1444791415"," 0.5888251513"
" 0.4624983930"," 0.667186784","-0.2031385136"," 0.4582165922"
"-0.1158523440"," 0.009295337"," 0.4624983921"," 1.8546699388"
"-0.2033941085","-0.100353237","-0.1158523455"," 0.6694459996"
"-0.4491180903","-0.210001812","-0.2033941100"," 0.4867611067"
"-0.6458934459","-0.484123248","-0.4491180921","-0.0392098646"
"-0.7003150298","-0.593771823","-0.6458934479","-0.5042696268"
"-0.7003508133","-0.703420397","-0.7003150319","-0.6259012842"
"-0.7003137518","-0.703420397","-0.7003508154","-0.6258803980"
"-0.7002779683","-0.703420397","-0.7003137539","-0.6259569808"
"-0.7002971381","-0.648596110","-0.7002779704","-0.6258386255"
"-0.7002741344","-0.593771823","-0.7002971401","-0.6259068539"
"-0.7002830803","-0.593771823","-0.7002741365","-0.6257355868"
"-0.7002971381","-0.593771823","-0.7002830823","-0.6257968531"
"-0.7003322826","-0.538947535","-0.7002971401","-0.6258177393"
"-0.7003188638","-0.484123248","-0.7003322846","-0.6257731820"
"-0.7003060839","-0.484123248","-0.7003188658","-0.6255907756"
"-0.7003233367","-0.538947535","-0.7003060860","-0.6256395101"
"-0.7002671055","-0.484123248","-0.7003233388","-0.6258288786"
"-0.6744448409","-0.538947535","-0.7002671076","-0.6258609042"
"-0.3466111571","-0.429298961","-0.6744448430","-0.5715636679"
" 0.3081820711","-0.264826099","-0.3466111588"," 0.0707630991"
" 0.8009080166"," 0.064119624"," 0.3081820700"," 0.7259780625"
" 1.0718401926"," 0.502713922"," 0.8009080160"," 0.8351434253"
" 0.8549666536"," 0.722011071"," 1.0718401923"," 0.9518278310"
" 1.1096045596"," 0.831659646"," 0.8549666531"," 1.5551613987"
" 0.6856979427"," 0.722011071"," 1.1096045593"," 3.3561114022"
" 0.1130981245"," 0.502713922"," 0.6856979420"," 2.7268789091"
"-0.4066890891"," 0.118943912"," 0.1130981232"," 1.3522864834"
"-0.6652459268","-0.429298961","-0.4066890909"," 0.0986392542"
"-0.7002971381","-0.648596110","-0.6652459288","-0.5485888148"
"-0.7003182248","-0.703420397","-0.7002971401","-0.6260809058"
"-0.7003278096","-0.758244684","-0.7003182268","-0.6259917912"
"-0.7002996940","-0.758244684","-0.7003278117","-0.6260391333"
"-0.7002370729","-0.758244684","-0.7002996961","-0.6260419182"
"-0.7003207807","-0.758244684","-0.7002370750","-0.6261171086"
"-0.7003111959","-0.758244684","-0.7003207828","-0.6259374870"
"-0.7002920261","-0.758244684","-0.7003111979","-0.6260460954"
"-0.7003022500","-0.703420397","-0.7002920282","-0.6260154623"
"-0.7002428238","-0.758244684","-0.7003022521","-0.6259430567"
"-0.7002830803","-0.758244684","-0.7002428259","-0.6257564730"
"-0.7002172642","-0.758244684","-0.7002830823","-0.6256450798"
"-0.7002338780","-0.758244684","-0.7002172663","-0.6255754590"
"-0.6910100431","-0.758244684","-0.7002338800","-0.6254055844"
"-0.4802689006","-0.648596110","-0.6910100452","-0.6049704968"
"-0.2488902663","-0.484123248","-0.4802689024","-0.1399371905"
" 0.4662684398"," 0.009295337","-0.2488902679"," 0.3775957439"
" 0.2056240186"," 0.447889635"," 0.4662684389"," 1.5328827532"
" 0.3067762909"," 0.776835359"," 0.2056240174"," 1.1340949993"
" 1.1463465410"," 0.941308220"," 0.3067762898"," 1.4752367581"
" 0.8186080668"," 0.831659646"," 1.1463465408"," 3.6701010619"
" 0.0024248866"," 0.557538210"," 0.8186080662"," 3.1557428345"
"-0.3854873684"," 0.118943912"," 0.0024248852"," 1.1278291302"
"-0.6634037158","-0.429298961","-0.3854873701"," 0.1832424104"
"-0.7003137518","-0.648596110","-0.6634037178","-0.5361893561"
"-0.7002786073","-0.758244684","-0.7003137539","-0.6259110311"
"-0.7002779683","-0.758244684","-0.7002786094","-0.6259583733"
"-0.7003233367","-0.758244684","-0.7002779704","-0.6260572347"
"-0.7003086399","-0.758244684","-0.7003233388","-0.6258901449"
"-0.7003016110","-0.758244684","-0.7003086420","-0.6259221705"
"-0.7003111959","-0.758244684","-0.7003016131","-0.6258469800"
"-0.7002600766","-0.703420397","-0.7003111979","-0.6257829289"
"-0.7002511307","-0.703420397","-0.7002600787","-0.6258859677"
"-0.7002600766","-0.758244684","-0.7002511328","-0.6259166008"
"-0.7003022500","-0.758244684","-0.7002600787","-0.6256993840"
"-0.7002805243","-0.758244684","-0.7003022521","-0.6259291325"
"-0.7003131128","-0.703420397","-0.7002805264","-0.6258845752"
"-0.6448518906","-0.703420397","-0.7003131149","-0.6258790056"
"-0.1532333164","-0.593771823","-0.6448518926","-0.5105368883"
" 0.4505492617","-0.374474674","-0.1532333180"," 0.5542932508"
" 0.9437864000"," 0.118943912"," 0.4505492607"," 1.7034536326"
" 1.2381056459"," 0.612362497"," 0.9437863995"," 2.5876373749"
" 1.3536991144"," 0.831659646"," 1.2381056457"," 3.0841726859"
" 1.1320970422"," 0.996132508"," 1.3536991143"," 3.9423182613"
" 0.7840386547"," 0.941308220"," 1.1320970419"," 3.7869247091"
" 0.0774424278"," 0.722011071"," 0.7840386541"," 3.0038303207"
"-0.4950040326"," 0.283416773"," 0.0774424264"," 1.3412864022"
"-0.6701489046","-0.210001812","-0.4950040345","-0.1170319581"
"-0.7002434628","-0.484123248","-0.6701489066","-0.5530278349"
"-0.7002715784","-0.648596110","-0.7002434649","-0.6259305249"
"-0.7002511307","-0.703420397","-0.7002715805","-0.6260196395"
"-0.7002524087","-0.703420397","-0.7002511328","-0.6260405258"
"-0.7002581596","-0.703420397","-0.7002524108","-0.6260405258"
"-0.7002849972","-0.758244684","-0.7002581617","-0.6259472339"
"-0.7003233367","-0.758244684","-0.7002849993","-0.6259583733"
"-0.7002396289","-0.758244684","-0.7003233388","-0.6260085002"
"-0.7002952211","-0.758244684","-0.7002396309","-0.6259792595"
"-0.7002952211","-0.758244684","-0.7002952232","-0.6260057154"
"-0.7003016110","-0.758244684","-0.7002952232","-0.6259124235"
